,LMDirichlet_score,QO,query_id,rank,system_name
Carbon_intensity.,-12.351339676717092,Q0,1,1,LM Dirichlet
Clean_Development_Mechanism.,-12.39109469502834,Q0,1,2,LM Dirichlet
Carbon_credit.,-12.444196329606411,Q0,1,3,LM Dirichlet
Carbon_emission_label.,-12.633717600818969,Q0,1,4,LM Dirichlet
Emissions_trading.,-12.650032808901802,Q0,1,5,LM Dirichlet
Carbon_offset.,-12.677382526054279,Q0,1,6,LM Dirichlet
Low-carbon_economy.,-12.797341710135584,Q0,1,7,LM Dirichlet
Carbon_sink.,-12.869433902683884,Q0,1,8,LM Dirichlet
Carbon_dioxide_sink.,-12.87097748483566,Q0,1,9,LM Dirichlet
Carbon_Footprint.,-12.90445558082249,Q0,1,10,LM Dirichlet
Carbon_diet.,-13.046842627462766,Q0,1,11,LM Dirichlet
Carbon_tax.,-13.05936067490316,Q0,1,12,LM Dirichlet
Flexible_Mechanisms.,-13.067923234681846,Q0,1,13,LM Dirichlet
Carbon_neutrality.,-13.085164149246255,Q0,1,14,LM Dirichlet
Carbon_neutral.,-13.087040573455738,Q0,1,15,LM Dirichlet
EU_Emissions_Trading_Scheme.,-13.319497270526234,Q0,1,16,LM Dirichlet
Weighted_average_cost_of_carbon.,-13.47246420500501,Q0,1,17,LM Dirichlet
Climate_change_in_New_Zealand.,-13.540511484776427,Q0,1,18,LM Dirichlet
Enterprise_carbon_accounting.,-13.715704023578425,Q0,1,19,LM Dirichlet
Reducing_emissions_from_deforestation_and_forest_degradation.,-13.742169791978219,Q0,1,20,LM Dirichlet
Carbon_accounting.,-13.766450075898602,Q0,1,21,LM Dirichlet
NEDC_test_cycle.,-13.855065216010274,Q0,1,22,LM Dirichlet
Emission_standard.,-13.866611332302938,Q0,1,23,LM Dirichlet
Chicago_Climate_Exchange.,-13.956157663883742,Q0,1,24,LM Dirichlet
Greenhouse_gas_inventory.,-13.958621678045056,Q0,1,25,LM Dirichlet
Emission_Reduction_Unit.,-14.039199695913517,Q0,1,26,LM Dirichlet
Certified_Emission_Reduction.,-14.061329899289994,Q0,1,27,LM Dirichlet
Certified_Emissions_Reduction.,-14.0689744379807,Q0,1,28,LM Dirichlet
Greenhouse_Gas.,-14.140956259675665,Q0,1,29,LM Dirichlet
Climate_change_in_China.,-14.173825910820323,Q0,1,30,LM Dirichlet
Climate_change_mitigation.,-14.227642812529783,Q0,1,31,LM Dirichlet
Regional_climate_change_initiatives_in_the_United_States.,-14.32266744513088,Q0,1,32,LM Dirichlet
Greenhouse_gas_emissions_accounting.,-14.35195447644409,Q0,1,33,LM Dirichlet
Kyoto_Protocol.,-14.379133505726283,Q0,1,34,LM Dirichlet
GHG_footprint.,-14.392137456541406,Q0,1,35,LM Dirichlet
Verified_Emission_Reduction.,-14.404775728967271,Q0,1,36,LM Dirichlet
Carbon_lock-in.,-14.431465967678527,Q0,1,37,LM Dirichlet
Life-cycle_greenhouse-gas_emissions_of_energy_sources.,-14.45565609775232,Q0,1,38,LM Dirichlet
Climate_change_in_Finland.,-14.502508289090823,Q0,1,39,LM Dirichlet
Black_carbon.,-14.512924806240964,Q0,1,40,LM Dirichlet
Low_carbon_diet.,-14.638733963575756,Q0,1,41,LM Dirichlet
Carbon_dioxide_removal.,-14.677236916224516,Q0,1,42,LM Dirichlet
Paris_Agreement.,-14.692469190730112,Q0,1,43,LM Dirichlet
Food_miles.,-14.796094161613214,Q0,1,44,LM Dirichlet
Climate_change_feedback.,-14.83089610754417,Q0,1,45,LM Dirichlet
Environmental_impact_of_aviation.,-14.903832136647859,Q0,1,46,LM Dirichlet
Carbon-neutral_fuel.,-15.052978971630203,Q0,1,47,LM Dirichlet
Individual_and_political_action_on_climate_change.,-15.114643239692011,Q0,1,48,LM Dirichlet
Climate_change_in_the_United_Kingdom.,-15.125553767500357,Q0,1,49,LM Dirichlet
Infrared_window.,-15.142677283571144,Q0,1,50,LM Dirichlet
Climate_change_in_Russia.,-15.30646330157947,Q0,1,51,LM Dirichlet
Individual_action_on_climate_change.,-15.325626759429237,Q0,1,52,LM Dirichlet
Climate_change_in_Canada.,-15.398419770670328,Q0,1,53,LM Dirichlet
Scientific_opinion_on_climate_change.,-15.4004924234801,Q0,1,54,LM Dirichlet
Climate_change_in_the_United_States.,-15.40658466261664,Q0,1,55,LM Dirichlet
Economics_of_global_warming.,-15.438513753341109,Q0,1,56,LM Dirichlet
Environmental_impact_of_the_petroleum_industry.,-15.499050081141053,Q0,1,57,LM Dirichlet
Global_warming_potential.,-15.506574718572825,Q0,1,58,LM Dirichlet
Sustainable_advertising.,-15.511332101402656,Q0,1,59,LM Dirichlet
Climate_change_in_South_Korea.,-15.521954538334978,Q0,1,60,LM Dirichlet
Life_cycle_assessment.,-15.664037942603969,Q0,1,61,LM Dirichlet
Human_impact_on_the_environment.,-15.697213453766246,Q0,1,62,LM Dirichlet
Glossary_of_climate_change.,-15.702433091592354,Q0,1,63,LM Dirichlet
2009_United_Nations_Climate_Change_Conference.,-15.745435635945327,Q0,1,64,LM Dirichlet
Joint_Implementation.,-15.750953602921827,Q0,1,65,LM Dirichlet
2000-watt_society.,-15.763311976321837,Q0,1,66,LM Dirichlet
Environmental_impact_of_concrete.,-15.778353630892102,Q0,1,67,LM Dirichlet
Clean_Power_Plan.,-15.838624430317221,Q0,1,68,LM Dirichlet
Climate_change_mitigation_scenarios.,-15.935386686165025,Q0,1,69,LM Dirichlet
Climate_change_in_Sweden.,-15.938964986234282,Q0,1,70,LM Dirichlet
Avoiding_Dangerous_Climate_Change_(2005_conference).,-15.994441761365263,Q0,1,71,LM Dirichlet
Avoiding_dangerous_climate_change.,-15.998643443582885,Q0,1,72,LM Dirichlet
Environmental_impact_of_the_energy_industry.,-16.022325882356625,Q0,1,73,LM Dirichlet
Carbon_capture_and_storage.,-16.065275969060544,Q0,1,74,LM Dirichlet
Carbon_capture.,-16.06597185397891,Q0,1,75,LM Dirichlet
Radiative_forcing.,-16.076613307658405,Q0,1,76,LM Dirichlet
Global_warming_in_Norway.,-16.080543073387474,Q0,1,77,LM Dirichlet
Ocean_acidification.,-16.173691644795266,Q0,1,78,LM Dirichlet
Environmental_impact_of_electricity_generation.,-16.181924231353698,Q0,1,79,LM Dirichlet
History_of_climate_change_science.,-16.18277807135165,Q0,1,80,LM Dirichlet
Peat.,-16.26464192263321,Q0,1,81,LM Dirichlet
Cement.,-16.265485729669294,Q0,1,82,LM Dirichlet
Biofuel.,-16.3238827928095,Q0,1,83,LM Dirichlet
Environmental_impact_of_paper.,-16.34971617618809,Q0,1,84,LM Dirichlet
Climate_change_in_Australia.,-16.392160587565375,Q0,1,85,LM Dirichlet
Climate_change_in_Japan.,-16.395430179297698,Q0,1,86,LM Dirichlet
Greenhouse_effect.,-16.396113602039776,Q0,1,87,LM Dirichlet
Carbon_dioxide.,-16.464017586662596,Q0,1,88,LM Dirichlet
Global_warming.,-16.464521872848263,Q0,1,89,LM Dirichlet
Anthropogenic_climate_change.,-16.465130990584008,Q0,1,90,LM Dirichlet
Climate_engineering.,-16.547232008319597,Q0,1,91,LM Dirichlet
United_Nations_Framework_Convention_on_Climate_Change.,-16.550909656270264,Q0,1,92,LM Dirichlet
Alternative_energy.,-16.56214164064228,Q0,1,93,LM Dirichlet
Climate_change_in_Europe.,-16.576803814038055,Q0,1,94,LM Dirichlet
"Land_use,_land-use_change,_and_forestry.",-16.59787511839155,Q0,1,95,LM Dirichlet
Atmosphere_of_Earth.,-16.606087876012317,Q0,1,96,LM Dirichlet
Earth%27s_atmosphere.,-16.606568818662222,Q0,1,97,LM Dirichlet
Sustainable_business.,-16.62429341340021,Q0,1,98,LM Dirichlet
Sustainability_practices_in_organizations.,-16.627009574976576,Q0,1,99,LM Dirichlet
Atom.,-16.64974984821231,Q0,1,100,LM Dirichlet
